discrepancyNo,classKey,discrepancyCategory,inputName,inputList,libraryName,driverName,funcName,output,absErrs,relErrs,maxDeltaDiff
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],mpmath,mpmath_factorial_arg1_DRIVER0,factorial,nan,,,5
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],mpmath,mpmath_fp_fac_arg1_DRIVER0,fac,EXCEPTION: cannot convert float infinity to integer,,,5
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],mpmath,mpmath_fp_factorial_arg1_DRIVER0,factorial,EXCEPTION: cannot convert float infinity to integer,,,5
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],scipy,scipy_special_factorial_arg1_DRIVER0,factorial,0.0,,,5
04905d6f49d248ff46c739f522084525,76.3057742941652,4,all_negInfInput_pos0,[-inf],jmat,jmat_factorial_DRIVER0,factorial,nan,,,5
04f728a2a8b649682c18de8db0a916d9,29.566553530894094,2,gsl_sf_laguerre_n_DRIVER~input_num009,"[1000, 2.0, -0.5]",mpmath,mpmath_laguerre_arg3_DRIVER1,laguerre,2.439991517094755e+21,,,3
04f728a2a8b649682c18de8db0a916d9,29.566553530894094,2,gsl_sf_laguerre_n_DRIVER~input_num009,"[1000, 2.0, -0.5]",mpmath,mpmath_fp_laguerre_arg3_DRIVER1,laguerre,"EXCEPTION: (34, 'Numerical result out of range')",,,3
04f728a2a8b649682c18de8db0a916d9,29.566553530894094,2,gsl_sf_laguerre_n_DRIVER~input_num009,"[1000, 2.0, -0.5]",scipy,scipy_special_eval_genlaguerre_arg3_DRIVER1,eval_genlaguerre,2.439991517094749e+21,,,3
04f728a2a8b649682c18de8db0a916d9,29.566553530894094,2,gsl_sf_laguerre_n_DRIVER~input_num009,"[1000, 2.0, -0.5]",gsl,gsl_sf_laguerre_n_DRIVER,gsl_sf_laguerre_n,2.439991517094464e+21,,,3
06c23e853c27cbc35d087ac4e50ce6a0,81.68652921589485,2,gsl_sf_beta_DRIVER~input_num011,"[100.1, -99.3]",mpmath,mpmath_beta_arg2_DRIVER0,beta,1.328660939628864,,,4
06c23e853c27cbc35d087ac4e50ce6a0,81.68652921589485,2,gsl_sf_beta_DRIVER~input_num011,"[100.1, -99.3]",mpmath,mpmath_fp_beta_arg2_DRIVER0,beta,1.328660939628864,,,4
06c23e853c27cbc35d087ac4e50ce6a0,81.68652921589485,2,gsl_sf_beta_DRIVER~input_num011,"[100.1, -99.3]",scipy,scipy_special_beta_arg2_DRIVER0,beta,1.3286609396288642,,,4
06c23e853c27cbc35d087ac4e50ce6a0,81.68652921589485,2,gsl_sf_beta_DRIVER~input_num011,"[100.1, -99.3]",gsl,gsl_sf_beta_DRIVER,gsl_sf_beta,1.3286609396289693,,,4
06c23e853c27cbc35d087ac4e50ce6a0,81.68652921589485,2,gsl_sf_beta_DRIVER~input_num011,"[100.1, -99.3]",jmat,jmat_beta_DRIVER0,beta,"Exception: Complex Number Returned. 1.3286609396283704re-2.6100039101425676e-15i
",,,4
07189fa86e7513844aad7ed6bbf4ed17,22.427116411821455,4,all_infInput_pos0,"[1, inf]",scipy,scipy_special_spherical_jn_arg2_DRIVER1,spherical_jn,0.0,,,1
07189fa86e7513844aad7ed6bbf4ed17,22.427116411821455,4,all_infInput_pos0,"[1, inf]",gsl,gsl_sf_bessel_jl_DRIVER,gsl_sf_bessel_jl,nan,,,1
07747ed474ff95e3c200efa113997194,135.31944767789724,4,all_infInput_pos0,"[inf, 2.2738632088209076]",mpmath,mpmath_ff_arg2_DRIVER0,ff,nan,,,2
07747ed474ff95e3c200efa113997194,135.31944767789724,4,all_infInput_pos0,"[inf, 2.2738632088209076]",mpmath,mpmath_fp_ff_arg2_DRIVER0,ff,EXCEPTION: cannot convert float infinity to integer,,,2
07747ed474ff95e3c200efa113997194,135.31944767789724,4,all_infInput_pos0,"[inf, 2.2738632088209076]",jmat,jmat_permutation_DRIVER0,permutation,1.0,,,2
07cb58ec2fb03a0c504ebf8d32ef0e24,255.29285520557255,2,all_negZeroInput_pos0,"[1, -0.0]",mpmath,mpmath_besseljzero_arg2_DRIVER1,besseljzero,EXCEPTION: m cannot be less than 1,,,2
07cb58ec2fb03a0c504ebf8d32ef0e24,255.29285520557255,2,all_negZeroInput_pos0,"[1, -0.0]",mpmath,mpmath_fp_besseljzero_arg2_DRIVER1,besseljzero,EXCEPTION: m cannot be less than 1,,,2
07cb58ec2fb03a0c504ebf8d32ef0e24,255.29285520557255,2,all_negZeroInput_pos0,"[1, -0.0]",gsl,gsl_sf_bessel_zero_Jnu_DRIVER,gsl_sf_bessel_zero_Jnu,0.0,,,2
09cee276e54c32cedbe3581437d30b15,44.26477207382107,2,scipy_special_kv_arg2_DRIVER0~input_num008,"[0.0, 1e+19]",mpmath,mpmath_besselk_arg2_DRIVER0,besselk,0.0,,,3
09cee276e54c32cedbe3581437d30b15,44.26477207382107,2,scipy_special_kv_arg2_DRIVER0~input_num008,"[0.0, 1e+19]",mpmath,mpmath_fp_besselk_arg2_DRIVER0,besselk,0.0,,,3
