classKey,driverName,funcName
117.02139086270306,mpmath_sinh_arg1_DRIVER0,sinh
117.02139086270306,mpmath_fp_sinh_arg1_DRIVER0,sinh
117.02139086270306,jmat_sinh_DRIVER0,sinh
12.156463118568205,mpmath_frac_arg1_DRIVER0,frac
12.156463118568205,jmat_frac_DRIVER0,frac
12.392414011071057,scipy_special_ive_arg2_DRIVER0,ive
12.392414011071057,gsl_sf_bessel_Inu_scaled_DRIVER,gsl_sf_bessel_Inu_scaled
12.954920998833142,scipy_special_ndtri_arg1_DRIVER0,ndtri
12.954920998833142,jmat_qf_standardnormal_DRIVER0,qf_standardnormal
1239.5174933541539,mpmath_jacobi_arg4_DRIVER0,jacobi
1239.5174933541539,mpmath_fp_jacobi_arg4_DRIVER0,jacobi
128.75387963410364,mpmath_agm_arg2_DRIVER0,agm
128.75387963410364,scipy_special_agm_arg2_DRIVER0,agm
128.75387963410364,jmat_agm_DRIVER0,agm
129.69343464259293,mpmath_cosh_arg1_DRIVER0,cosh
129.69343464259293,mpmath_fp_cosh_arg1_DRIVER0,cosh
129.69343464259293,jmat_cosh_DRIVER0,cosh
132.0772977657325,mpmath_airybi_arg1_DRIVER0,airybi
132.0772977657325,mpmath_fp_airybi_arg1_DRIVER0,airybi
132.0772977657325,gsl_sf_airy_Bi_DRIVER,gsl_sf_airy_Bi
132.0772977657325,jmat_bairy_DRIVER0,bairy
135.31944767789724,mpmath_ff_arg2_DRIVER0,ff
135.31944767789724,mpmath_fp_ff_arg2_DRIVER0,ff
135.31944767789724,jmat_permutation_DRIVER0,permutation
135.42803647140357,mpmath_cyclotomic_arg2_DRIVER0,cyclotomic
135.42803647140357,mpmath_fp_cyclotomic_arg2_DRIVER0,cyclotomic
14.226862561107968,scipy_special_ive_arg2_DRIVER1,ive
14.226862561107968,gsl_sf_bessel_In_scaled_DRIVER,gsl_sf_bessel_In_scaled
14.4922386179003,scipy_special_betainc_arg3_DRIVER0,betainc
14.4922386179003,scipy_special_btdtr_arg3_DRIVER0,btdtr
14.4922386179003,gsl_sf_beta_inc_DRIVER,gsl_sf_beta_inc
141.7176363435565,mpmath_ei_arg1_DRIVER0,ei
